number,name,screen_name,profile_image,following,followed_by,description,extra
"384","Alex Xu","xuxiaopengmint","https://pbs.twimg.com/profile_images/1544198505442316289/QIEf1Xg3_normal.jpg","true","false","Research Partner @Mint_Ventures\n记录关于Web3投资的思考\nMint Ventures投研内容合辑（实时更新）：https://clever-blackbird-b80.notion.site/Mint-Ventures-09dede0c7bfe407ea8ffeb8535d3d20c","{""__typename"":""User"",""id"":""VXNlcjoxNTQ0MTk3OTYxMTY0MjgzOTA0"",""rest_id"":""1544197961164283904"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Tue Jul 05 05:54:48 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""Research Partner @Mint_Ventures\n记录关于Web3投资的思考\nMint Ventures投研内容合辑（实时更新）：https://t.co/oE043vkrL1"",""entities"":{""description"":{""urls"":[{""display_url"":""clever-blackbird-b80.notion.site/Mint-Ventures-…"",""expanded_url"":""https://clever-blackbird-b80.notion.site/Mint-Ventures-09dede0c7bfe407ea8ffeb8535d3d20c"",""url"":""https://t.co/oE043vkrL1"",""indices"":[72,95]}]}},""fast_followers_count"":0,""favourites_count"":79,""followers_count"":4708,""friends_count"":214,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":228,""location"":"""",""media_count"":10,""name"":""Alex Xu"",""normal_followers_count"":4708,""pinned_tweet_ids_str"":[""1704043056675356979""],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1544198505442316289/QIEf1Xg3_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""xuxiaopengmint"",""statuses_count"":266,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1544197961164283904"",""sortIndex"":""1726944887225450098""}"
"385","yetone","yetone","https://pbs.twimg.com/profile_images/1458663772017491971/h1-KC--K_normal.jpg","true","false","一个只会写屎代码的垃圾程序员，静态强类型系统的门下走狗。代数数据类型的虔诚门徒。 精神白洋淀人。他妈的，瓦拉莫夫。争取用 Rust 养活我余生（后来发现我太笨了，我不配）。（我不是严肃推主，我是个垃圾，大家不要关注我，谢谢 🙏）\n爱发电: https://afdian.net/a/openai-translator","{""__typename"":""User"",""id"":""VXNlcjoxNDc3ODY3ODQ="",""rest_id"":""147786784"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":false,""created_at"":""Tue May 25 01:52:30 +0000 2010"",""default_profile"":false,""default_profile_image"":false,""description"":""一个只会写屎代码的垃圾程序员，静态强类型系统的门下走狗。代数数据类型的虔诚门徒。 精神白洋淀人。他妈的，瓦拉莫夫。争取用 Rust 养活我余生（后来发现我太笨了，我不配）。（我不是严肃推主，我是个垃圾，大家不要关注我，谢谢 🙏）\n爱发电: https://t.co/drng9vQkXt"",""entities"":{""description"":{""urls"":[{""display_url"":""afdian.net/a/openai-trans…"",""expanded_url"":""https://afdian.net/a/openai-translator"",""url"":""https://t.co/drng9vQkXt"",""indices"":[120,143]}]},""url"":{""urls"":[{""display_url"":""github.com/yetone"",""expanded_url"":""https://github.com/yetone"",""url"":""https://t.co/KfyoeaqTKV"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":12603,""followers_count"":39985,""friends_count"":3501,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":396,""location"":""无"",""media_count"":1147,""name"":""yetone"",""normal_followers_count"":39985,""pinned_tweet_ids_str"":[""1699488465140998311""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/147786784/1635109454"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1458663772017491971/h1-KC--K_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""yetone"",""statuses_count"":11184,""translator_type"":""none"",""url"":""https://t.co/KfyoeaqTKV"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1540288109534818304"",""professional_type"":""Creator"",""category"":[{""id"":426,""name"":""Carpenter"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-147786784"",""sortIndex"":""1726944887225450097""}"
"386","Jinze 金泽","kanazawa0x0","https://pbs.twimg.com/profile_images/1726106311887134720/dPoKar_z_normal.jpg","true","false","Here are my reading notes NOT financial advice.\nNow @MuseLabs1 +LD Research. \nPrev.  Binance Research, WallStreetCN, EY.","{""__typename"":""User"",""id"":""VXNlcjoxNTE0MTg4ODU5ODI2ODYwMDMz"",""rest_id"":""1514188859826860033"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Wed Apr 13 10:29:05 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""Here are my reading notes NOT financial advice.\nNow @MuseLabs1 +LD Research. \nPrev.  Binance Research, WallStreetCN, EY."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":376,""followers_count"":5178,""friends_count"":591,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":173,""location"":""Chicago, IL"",""media_count"":543,""name"":""Jinze 金泽"",""normal_followers_count"":5178,""pinned_tweet_ids_str"":[""1721353672653738027""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1514188859826860033/1655693329"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1726106311887134720/dPoKar_z_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""kanazawa0x0"",""statuses_count"":1953,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1514188859826860033"",""sortIndex"":""1726944887225450096""}"
"387","Reorx","novoreorx","https://pbs.twimg.com/profile_images/579924232685010944/obcxKbEE_normal.png","true","false","Craft and smelt. 一个认真生活的开发者。 \n\nSo much to explore, so little time. \n\nFediverse: @reorx@dabr.ca","{""__typename"":""User"",""id"":""VXNlcjoxMzI3MzY4NTk="",""rest_id"":""132736859"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":false,""created_at"":""Wed Apr 14 01:51:25 +0000 2010"",""default_profile"":false,""default_profile_image"":false,""description"":""Craft and smelt. 一个认真生活的开发者。 \n\nSo much to explore, so little time. \n\nFediverse: @reorx@dabr.ca"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""reorx.com"",""expanded_url"":""https://reorx.com"",""url"":""https://t.co/nCvRVPcECG"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":6964,""followers_count"":14590,""friends_count"":646,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":208,""location"":"""",""media_count"":2539,""name"":""Reorx"",""normal_followers_count"":14590,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/132736859/1389201124"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/579924232685010944/obcxKbEE_normal.png"",""profile_interstitial_type"":"""",""screen_name"":""novoreorx"",""statuses_count"":13537,""translator_type"":""none"",""url"":""https://t.co/nCvRVPcECG"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-132736859"",""sortIndex"":""1726944887225450095""}"
"388","Maxlion","Real_Maxlion","https://pbs.twimg.com/profile_images/1499593703618404358/CfsqoIsN_normal.jpg","true","false","蚌 の Artist 🐮🦁🚀 | ETH ZK FOCG🎰 What's AI | @StarknetAstroCN ✨🌐 Starknet Evangelist 🇨🇳| I love buidl community and study sociology 🤗|","{""__typename"":""User"",""id"":""VXNlcjoxNDU1ODcwNDAyNTcyMzQxMjUy"",""rest_id"":""1455870402572341252"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Wed Nov 03 12:12:25 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""蚌 の Artist 🐮🦁🚀 | ETH ZK FOCG🎰 What's AI | @StarknetAstroCN ✨🌐 Starknet Evangelist 🇨🇳| I love buidl community and study sociology 🤗|"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""instinctive-pantry-080.notion.site/MaxlionCraft-b…"",""expanded_url"":""https://instinctive-pantry-080.notion.site/MaxlionCraft-b82d0f47e5274e53a0d9f7e08aa274f4?pvs=4"",""url"":""https://t.co/SNxr2S8hHI"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":12241,""followers_count"":5702,""friends_count"":1377,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":171,""location"":"""",""media_count"":358,""name"":""Maxlion"",""normal_followers_count"":5702,""pinned_tweet_ids_str"":[""1588848536694960128""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1455870402572341252/1700515330"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1499593703618404358/CfsqoIsN_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Real_Maxlion"",""statuses_count"":4322,""translator_type"":""none"",""url"":""https://t.co/SNxr2S8hHI"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1599838821478109184"",""professional_type"":""Creator"",""category"":[{""id"":1094,""name"":""Blockchain"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1455870402572341252"",""sortIndex"":""1726944887225450094""}"
"389","Y林(🌸, 🌿)YouAirdrop.ETH.lens","YourAirdropETH","https://pbs.twimg.com/profile_images/1631271969760083968/3PZSXj4Q_normal.jpg","true","false","牛市炒币，熊市撸空投 || @33daoweb3 member || 社区WandererDAO","{""__typename"":""User"",""id"":""VXNlcjoxMTM0NzE0NzEyOTUwNjgxNjAw"",""rest_id"":""1134714712950681600"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Jun 01 06:54:04 +0000 2019"",""default_profile"":true,""default_profile_image"":false,""description"":""牛市炒币，熊市撸空投 || @33daoweb3 member || 社区WandererDAO"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""mirror.xyz/0x1320d47e264F…"",""expanded_url"":""https://mirror.xyz/0x1320d47e264FeA17fC428A95f8A8f94531E7F75f"",""url"":""https://t.co/97FfitykPb"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":2283,""followers_count"":48582,""friends_count"":2068,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":1433,""location"":""(3, 3) DAO"",""media_count"":1021,""name"":""Y林(🌸, 🌿)YouAirdrop.ETH.lens"",""normal_followers_count"":48582,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1134714712950681600/1669463747"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1631271969760083968/3PZSXj4Q_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""YourAirdropETH"",""statuses_count"":8516,""translator_type"":""none"",""url"":""https://t.co/97FfitykPb"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1544128215706660865"",""professional_type"":""Creator"",""category"":[{""id"":1009,""name"":""Community"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1134714712950681600"",""sortIndex"":""1726944887225450093""}"
"390","sundyme","sundyme","https://pbs.twimg.com/profile_images/1638907044924387329/_yul1GE8_normal.jpg","true","false","🚀科技探险家＆设计迷｜AI狂热分子｜💡分享前沿科技资讯、创意灵感｜🎨发掘顶尖设计师、工作室、实用软件工具｜📚倡导阅读，行动力，健康生活｜🌟与您共勉，共同进步！","{""__typename"":""User"",""id"":""VXNlcjoxMDc2MDk4Mg=="",""rest_id"":""10760982"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Sat Dec 01 06:52:01 +0000 2007"",""default_profile"":false,""default_profile_image"":false,""description"":""🚀科技探险家＆设计迷｜AI狂热分子｜💡分享前沿科技资讯、创意灵感｜🎨发掘顶尖设计师、工作室、实用软件工具｜📚倡导阅读，行动力，健康生活｜🌟与您共勉，共同进步！"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":6957,""followers_count"":14733,""friends_count"":1368,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":210,""location"":"""",""media_count"":472,""name"":""sundyme"",""normal_followers_count"":14733,""pinned_tweet_ids_str"":[""1654826781181091848""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/10760982/1679581149"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1638907044924387329/_yul1GE8_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""sundyme"",""statuses_count"":2431,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1639694723165360130"",""professional_type"":""Creator"",""category"":[{""id"":713,""name"":""Science & Technology"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-10760982"",""sortIndex"":""1726944887225450092""}"
"391","宝玉","dotey","https://pbs.twimg.com/profile_images/561086911561736192/6_g58vEs_normal.jpeg","true","false","Prompt Engineer, dedicated to learning and disseminating knowledge about AI, software engineering, and engineering management.","{""__typename"":""User"",""id"":""VXNlcjozMTc4MjMx"",""rest_id"":""3178231"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Mon Apr 02 03:42:14 +0000 2007"",""default_profile"":false,""default_profile_image"":false,""description"":""Prompt Engineer, dedicated to learning and disseminating knowledge about AI, software engineering, and engineering management."",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""baoyu.io"",""expanded_url"":""https://baoyu.io"",""url"":""https://t.co/icobX4A3Ae"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":11762,""followers_count"":51922,""friends_count"":946,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":879,""location"":""Chicago, IL"",""media_count"":1348,""name"":""宝玉"",""normal_followers_count"":51922,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/561086911561736192/6_g58vEs_normal.jpeg"",""profile_interstitial_type"":"""",""screen_name"":""dotey"",""statuses_count"":9229,""translator_type"":""none"",""url"":""https://t.co/icobX4A3Ae"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-3178231"",""sortIndex"":""1726944887225450091""}"
"392","Sofish","sofish","https://pbs.twimg.com/profile_images/1647437153436315649/kyKhTTU1_normal.jpg","true","false","一个力求没有沉默成本的人","{""__typename"":""User"",""id"":""VXNlcjoxNDMwOTk2OQ=="",""rest_id"":""14309969"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Sat Apr 05 12:41:58 +0000 2008"",""default_profile"":false,""default_profile_image"":false,""description"":""一个力求没有沉默成本的人"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":597,""followers_count"":28441,""friends_count"":525,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":326,""location"":"""",""media_count"":374,""name"":""Sofish"",""normal_followers_count"":28441,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/14309969/1687941647"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1647437153436315649/kyKhTTU1_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""sofish"",""statuses_count"":1458,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1519008569613774849"",""professional_type"":""Creator"",""category"":[]},""entryId"":""user-14309969"",""sortIndex"":""1726944887225450090""}"
"393","Quinn Leng","quinn_leng","https://pbs.twimg.com/profile_images/1536415963851067392/ZtvUZtaf_normal.jpg","true","false","LLM hacker at Databricks, CMU master.\nEnjoy doing research and sharing perspectives on  tech industries. \n喜欢做研究的工程师\n不定期分享科技行业思考\nYoutube Channel：不说话的白菜","{""__typename"":""User"",""id"":""VXNlcjoxNTE2ODk3MDUwNDk0Nzg3NTg1"",""rest_id"":""1516897050494787585"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Wed Apr 20 21:50:30 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""LLM hacker at Databricks, CMU master.\nEnjoy doing research and sharing perspectives on  tech industries. \n喜欢做研究的工程师\n不定期分享科技行业思考\nYoutube Channel：不说话的白菜"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""youtube.com/@quinn7994/fea…"",""expanded_url"":""https://www.youtube.com/@quinn7994/featured"",""url"":""https://t.co/4i0cdKNZOw"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":122,""followers_count"":5019,""friends_count"":86,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":81,""location"":""California"",""media_count"":95,""name"":""Quinn Leng"",""normal_followers_count"":5019,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1536415963851067392/ZtvUZtaf_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""quinn_leng"",""statuses_count"":305,""translator_type"":""none"",""url"":""https://t.co/4i0cdKNZOw"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1516897050494787585"",""sortIndex"":""1726944887225450089""}"
"394","本林-暴富作业本| getrichworkbook.eth","baofuliu","https://pbs.twimg.com/profile_images/1706861869561180160/BlNtNT4j_normal.jpg","true","false","撸毛归根结底是自己的事，别人的经验都是参考。 好好看好好学，集中起来的意志可以击穿顽石。我永远都爱ARB。","{""__typename"":""User"",""id"":""VXNlcjoxNDc2MzkwNTI1MTAwMjQwODk2"",""rest_id"":""1476390525100240896"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Thu Dec 30 03:12:16 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""撸毛归根结底是自己的事，别人的经验都是参考。 好好看好好学，集中起来的意志可以击穿顽石。我永远都爱ARB。"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":11628,""followers_count"":10874,""friends_count"":2089,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":243,""location"":"""",""media_count"":1023,""name"":""本林-暴富作业本| getrichworkbook.eth"",""normal_followers_count"":10874,""pinned_tweet_ids_str"":[""1677222868709695489""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1476390525100240896/1683458478"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1706861869561180160/BlNtNT4j_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""baofuliu"",""statuses_count"":8683,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1577250248103145472"",""professional_type"":""Business"",""category"":[{""id"":132,""name"":""Commercial & Industrial"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1476390525100240896"",""sortIndex"":""1726944887225450088""}"
"395","CoinList","CoinList","https://pbs.twimg.com/profile_images/1653442987756486661/qUc0SxsS_normal.jpg","true","false","CoinList is where the best crypto projects launch.\n\nSupport: http://support.coinlist.co/en/support/tickets/new\n\nDisclaimers: http://coinlist.co/disclaimers","{""__typename"":""User"",""id"":""VXNlcjo4NjYwNDc5OTc0NTY2NTg0MzQ="",""rest_id"":""866047997456658434"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Square"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Sat May 20 21:48:27 +0000 2017"",""default_profile"":false,""default_profile_image"":false,""description"":""CoinList is where the best crypto projects launch.\n\nSupport: https://t.co/aic9M3JmyK\n\nDisclaimers: https://t.co/Ev9vHlbjWK"",""entities"":{""description"":{""urls"":[{""display_url"":""support.coinlist.co/en/support/tic…"",""expanded_url"":""http://support.coinlist.co/en/support/tickets/new"",""url"":""https://t.co/aic9M3JmyK"",""indices"":[61,84]},{""display_url"":""coinlist.co/disclaimers"",""expanded_url"":""http://coinlist.co/disclaimers"",""url"":""https://t.co/Ev9vHlbjWK"",""indices"":[99,122]}]},""url"":{""urls"":[{""display_url"":""coinlist.co"",""expanded_url"":""https://coinlist.co"",""url"":""https://t.co/lbZ0XuKOlJ"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":1430,""followers_count"":206890,""friends_count"":130,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":1658,""location"":"""",""media_count"":185,""name"":""CoinList"",""normal_followers_count"":206890,""pinned_tweet_ids_str"":[""1682819437861167104""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/866047997456658434/1683046503"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1653442987756486661/qUc0SxsS_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""CoinList"",""statuses_count"":1392,""translator_type"":""none"",""url"":""https://t.co/lbZ0XuKOlJ"",""verified"":false,""verified_type"":""Business"",""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1494392363355185152"",""professional_type"":""Business"",""category"":[]},""entryId"":""user-866047997456658434"",""sortIndex"":""1726944887225450087""}"
"396","YuDan(🥚,🥚)","DeFiYudan","https://pbs.twimg.com/profile_images/1701629042301321216/cQdN1t79_normal.jpg","true","false","📚Keep learning📚 Web3 Researcher | @Wanzicrypto @Tokenmore Founder 📚 打狗小号：https://twitter.com/3282ETH","{""__typename"":""User"",""id"":""VXNlcjoxMjQzNDI1OTkwNTkzNzg5OTU1"",""rest_id"":""1243425990593789955"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Fri Mar 27 06:34:07 +0000 2020"",""default_profile"":true,""default_profile_image"":false,""description"":""📚Keep learning📚 Web3 Researcher | @Wanzicrypto @Tokenmore Founder 📚 打狗小号：https://t.co/gJoaOwwWKg"",""entities"":{""description"":{""urls"":[{""display_url"":""twitter.com/3282ETH"",""expanded_url"":""https://twitter.com/3282ETH"",""url"":""https://t.co/gJoaOwwWKg"",""indices"":[73,96]}]}},""fast_followers_count"":0,""favourites_count"":1714,""followers_count"":11985,""friends_count"":3460,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":182,""location"":"""",""media_count"":381,""name"":""YuDan(🥚,🥚)"",""normal_followers_count"":11985,""pinned_tweet_ids_str"":[""1718472386180419714""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1243425990593789955/1681830803"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1701629042301321216/cQdN1t79_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""DeFiYudan"",""statuses_count"":2454,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1484241206704218112"",""professional_type"":""Creator"",""category"":[{""id"":192,""name"":""Financial Services"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1243425990593789955"",""sortIndex"":""1726944887225450086""}"
"397","OKX中文","okxchinese","https://pbs.twimg.com/profile_images/1607045883434000385/eP63iKT3_normal.jpg","true","false","全球领先的加密资产交易平台和Web3平台/ @mancity 唯一加密平台赞助商/ @mclarenf1 首席赞助商/DM OPEN\n#BTC #OKX #OKXWeb3 \n官方社交媒体导航：http://linktr.ee/okxchinese \n中文DC社区：http://discord.gg/hkCGKbbbqf","{""__typename"":""User"",""id"":""VXNlcjoxNDYxMjI0OTk0NzA1NjQ5Njcx"",""rest_id"":""1461224994705649671"",""affiliates_highlighted_label"":{""label"":{""url"":{""url"":""https://twitter.com/okx"",""urlType"":""DeepLink""},""badge"":{""url"":""https://pbs.twimg.com/profile_images/1603448806879772672/Pa4h6HHS_bigger.jpg""},""description"":""OKX"",""userLabelType"":""BusinessLabel"",""userLabelDisplayType"":""Badge""}},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Square"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Thu Nov 18 06:49:35 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""全球领先的加密资产交易平台和Web3平台/ @mancity 唯一加密平台赞助商/ @mclarenf1 首席赞助商/DM OPEN\n#BTC #OKX #OKXWeb3 \n官方社交媒体导航：https://t.co/brxmhX6jQy \n中文DC社区：https://t.co/hwZCoHPAe4"",""entities"":{""description"":{""urls"":[{""display_url"":""linktr.ee/okxchinese"",""expanded_url"":""http://linktr.ee/okxchinese"",""url"":""https://t.co/brxmhX6jQy"",""indices"":[96,119]},{""display_url"":""discord.gg/hkCGKbbbqf"",""expanded_url"":""http://discord.gg/hkCGKbbbqf"",""url"":""https://t.co/hwZCoHPAe4"",""indices"":[128,151]}]},""url"":{""urls"":[{""display_url"":""okx.com"",""expanded_url"":""https://www.okx.com"",""url"":""https://t.co/JB0vlqjRAw"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":4305,""followers_count"":253993,""friends_count"":252,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":871,""location"":"""",""media_count"":2346,""name"":""OKX中文"",""normal_followers_count"":253993,""pinned_tweet_ids_str"":[""1726561452000219558""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1461224994705649671/1700463162"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1607045883434000385/eP63iKT3_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""okxchinese"",""statuses_count"":6929,""translator_type"":""none"",""url"":""https://t.co/JB0vlqjRAw"",""verified"":false,""verified_type"":""Business"",""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1468146192404336642"",""professional_type"":""Business"",""category"":[]},""entryId"":""user-1461224994705649671"",""sortIndex"":""1726944887225450085""}"
